[2020-07-07 10:15:42.976991] Generating Gabor Filters...
[2020-07-07 10:15:42.986380] Generating Gabor Filters Done!
[2020-07-07 10:15:42.986408] Loading MNIST Data...
[2020-07-07 10:15:44.238532] Loading MNIST Data Done!
[2020-07-07 10:15:44.467573] Convoluting Images...
[2020-07-07 10:16:10.134552] Convoluting Images Done!
[2020-07-07 10:16:10.135134] Image Blocks and Gabor Images Capturing...
[2020-07-07 10:20:16.159930] Image Blocks and Gabor Images Capturing Done!
[2020-07-07 10:32:11.645090] Epoch : 0169 loss = 0.097332068
[2020-07-07 10:32:15.899044] Epoch : 0170 loss = 0.087317603
[2020-07-07 10:32:20.032353] Epoch : 0171 loss = 0.080367341
[2020-07-07 10:32:24.195911] Epoch : 0172 loss = 0.075197191
[2020-07-07 10:32:28.370747] Epoch : 0173 loss = 0.070442653
[2020-07-07 10:32:32.588077] Epoch : 0174 loss = 0.069622074
[2020-07-07 10:32:36.795535] Epoch : 0175 loss = 0.074156934
[2020-07-07 10:32:41.018273] Epoch : 0176 loss = 88.745078038
[2020-07-07 10:32:45.154367] Epoch : 0177 loss = 0.138666498
[2020-07-07 10:32:49.280232] Epoch : 0178 loss = 0.137779210
[2020-07-07 10:32:53.395580] Epoch : 0179 loss = 0.145930208
[2020-07-07 10:32:57.512150] Epoch : 0180 loss = 0.434153271
[2020-07-07 10:33:01.620321] Epoch : 0181 loss = 0.712089191
[2020-07-07 10:33:05.744398] Epoch : 0182 loss = 0.543451656
[2020-07-07 10:33:09.914635] Epoch : 0183 loss = 0.364328319
[2020-07-07 10:33:14.045266] Epoch : 0184 loss = 0.221204231
[2020-07-07 10:33:18.209970] Epoch : 0185 loss = 0.165755044
[2020-07-07 10:33:22.354782] Epoch : 0186 loss = 0.119944495
[2020-07-07 10:33:26.469116] Epoch : 0187 loss = 0.100185373
[2020-07-07 10:33:30.589603] Epoch : 0188 loss = 0.089800371
[2020-07-07 10:33:34.820285] Epoch : 0189 loss = 0.081819528
[2020-07-07 10:33:38.990916] Epoch : 0190 loss = 0.075747583
[2020-07-07 10:33:43.113104] Epoch : 0191 loss = 0.071824910
[2020-07-07 10:33:47.213625] Epoch : 0192 loss = 0.069846930
[2020-07-07 10:33:51.342590] Epoch : 0193 loss = 0.071316151
[2020-07-07 10:33:55.491151] Epoch : 0194 loss = 0.077718248
[2020-07-07 10:33:59.678607] Epoch : 0195 loss = 43.189814719
[2020-07-07 10:34:03.827396] Epoch : 0196 loss = 0.131803880
[2020-07-07 10:34:07.957530] Epoch : 0197 loss = 0.130736232
[2020-07-07 10:34:12.151350] Epoch : 0198 loss = 0.175750127
[2020-07-07 10:34:16.295530] Epoch : 0199 loss = 0.432722266
[2020-07-07 10:34:20.463889] Epoch : 0200 loss = 0.450524115
[2020-07-07 10:34:24.604793] Epoch : 0201 loss = 0.327088981
[2020-07-07 10:34:28.801393] Epoch : 0202 loss = 0.235959568
[2020-07-07 10:34:33.039786] Epoch : 0203 loss = 0.164142115
[2020-07-07 10:34:37.213103] Epoch : 0204 loss = 0.127716728
